CameraCaptureEvent,On_Drake_Harddrive,In_Two_Locations,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_Correct,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
MY6_CC_17Feb2021,Yes,Yes,No,,No,photo + video,Yes,28,19,38,19,57,14,
MY6_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,42,24,48,24,72,14,
MY6_CC_29Jun2021,Yes,Yes,2022-04-14,Yes,No,video,Yes,104,31,0,31,31,14,
NRL_CC_02Dec2021,Yes,Yes,No,Yes,No,video,Yes,74,1,0,1,1,2,
NRL_CC_11Jun2022,Yes,Yes,No,Yes,No,video,12 min fast,86,808,0,808,808,47,
NRL_CC_16Mar2022,Yes,Yes,No,Yes,No,video,Yes,104,46,0,46,46,36,
NRL_CC_16Sep2022,Yes,,No,Yes,No,video,,98,489,0,489,489,,
NRL_CC_17Sep2021,Yes,Yes,No,Yes,No,video,Yes,78,394,0,394,394,40,
NRL_CC_30Jun2021,Yes,Yes,No,Yes,No,video,Yes,21,183,0,183,183,23,
NRM_CC_11Jun2022,Yes,Yes,n/a,,No,photo,Yes,86,,,,,47,
NRM_CC_16Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,104,13,26,0,26,36,
NRM_CC_16Sep2022,Yes,,n/a,Yes,No,photo,,98,1626,3252,0,3252,,
OC_CC_01Oct2022,Yes,,n/a,Yes,No,photo,,98,1591,3182,0,3182,,
OC_CC_15Mar2022,Yes,Yes,n/a,Yes,No,photo,,103,414,828,0,828,,
OC_CC_26Jun2022,Yes,Yes,n/a,Yes,No,photo,,102,9979,19957,0,19957,,
PC_CC_17Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,105,206,412,0,412,37,
PC_CC_27Jun2022,Yes,Yes,n/a,Yes,No,photo,,101,448,896,0,896,,
PC_CC_30Sep2022,Yes,,n/a,Yes,No,photo,Wrong date,96,527,527,0,527,,
RWH_CC_01Dec2021,Yes,Yes,n/a,Yes,No,photo,Yes,60,241,241,0,241,5,
