CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
MY1_CC_13Jul2021,MY1,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,,Yes,,0000:00:00 00:00:00,118,4,0,4,4,33,
MY2_CC_31Jan2022,MY2,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,80,90,4,90,94,1,
MY2_CC_07Dec2020,MY2,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,31,7,14,6,20,15,
MY2_CC_17Feb2021,MY2,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,27,9,18,8,26,15,
MY2_CC_20Jan2021,MY2,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,43,1,2,1,3,15,only one capture event (2 photos + 1 video) and the video file is corrupted
MY2_CC_16Mar2021,MY2,03_Spring2021,Yes,Yes,No,,No,photo + video,UTC -6,Yes,none,0000:00:00 00:00:00,26,5,10,4,14,15,
MY2_CC_29Jun2021,MY2,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,104,8,0,8,8,15,
MY2_CC_04May2022,MY2,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,92,17,0,17,17,46,
MY3_CC_07Dec2020,MY3,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,25,35,70,34,104,16,
MY3_CC_17Feb2021,MY3,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,27,2,4,2,6,16,
MY3_CC_20Jan2021,MY3,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,43,23,46,23,69,16,
MY3_CC_16Mar2021,MY3,03_Spring2021,Yes,Yes,No,,No,photo + video,UTC -6,Yes,none,0000:00:00 00:00:00,26,64,128,63,191,16,
MY3_CC_29Jun2021,MY3,04_Summer2021,Yes,Yes,2022-04-20,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,104,59,0,59,59,16,
MY3_CC_01Feb2022,MY3,06_Winter2021,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,118,95,0,95,95,25,
MY3_CC_04May2022,MY3,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,91,24,0,24,24,46,
MY4_CC_01Feb2022,MY4,06_Winter2021,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,118,10,0,10,10,25,
MY4_CC_07Dec2020,MY4,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,25,17,34,16,50,26,
MY4_CC_17Feb2021,MY4,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,27,37,74,36,110,26,
MY4_CC_20Jan2021,MY4,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,43,17,34,16,50,26,
MY4_CC_16Mar2021,MY4,03_Spring2021,Yes,Yes,2022-05-03,Yes,No,video,,Yes,none,0000:00:00 00:00:00,26,84,0,84,84,26,
MY4_CC_13Jul2021,MY4,04_Summer2021,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,118,182,0,182,182,26,
