Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Taylor 1954,Yellow-shafted flicker,yellow-shafted flicker,,Colaptes auratus,ITIS,species,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,,,
Speir et al. 2021,Beetle,Coleoptera,,Coleoptera,ITIS,order,Animalia,Arthropoda,Coleoptera,x,x,x,x,,,
Taylor 1954,Northern bobwhite,bobwhite quail,,Colinus virginianus,ITIS,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,Colinus virginianus,,,
Taylor 1954,Northern bobwhite,bobwite quail,,Colinus virginianus,ITIS,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,Colinus virginianus,,,
Calderon Vega 2002,Racer,Masticophis spp.,,Coluber,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,x,,,
Sanchez 2016,Racer,Masticophis spp.,,Coluber,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,x,,,
Mead et al. 2006,Striped racer,Maticophis lateralis,,Coluber lateralis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber lateralis,,,
Taylor 1954,Dogwood,dogwood,,Cornus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,x,,,
Mead & van Devender 1981,Rattlesnake,Crotalus viridis or C. mitchelli,,Crotalus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Crotalinae,Crotalus,x,,,
Mead & van Devender 1981,Collared lizards,Crotaphytus collaris,,Crotaphytus collaris,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,Crotaphytus collaris,,,
Trapp 1973,Collared lizards,Crotaphytus collaris,,Crotaphytus collaris,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,Crotaphytus collaris,,,
Nava-Vargas 1994,,Croton ehrenbergii,,Croton ehrenbergii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton ehrenbergii,,,
Nava-Vargas 1994,,Croton jucundus ,,Croton jucundus ,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton jucundus ,,,
Calderon Vega 2002,Crustacean,Crustacea,,Crustacea,ITIS,subphylum,Animalia,Arthropoda,x,x,x,x,x,,,
Navarrete-Ozuna 2011,Bee shrew,Soricomorpha C. parva ,,Cryptotis parva,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,Cryptotis parva,,,
Navarrete-Ozuna 2011,Gourd,Cucurbita sp. ,,Cucurbita,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,x,,,
Taylor 1954,Blue jay,bluejay,,Cyanocitta cristata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,,,
Taylor 1954,Blue jay,Texas jay,,Cyanocitta cristata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,,,
Nava-Vargas 1994,,Opuntia imbricata,,Cylindropuntia imbricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,,,,
